filename,split
001623.png,train
000620.png,train
000987.png,train
006672.png,train
003873.png,train
005299.png,train
004767.png,train
001116.png,train
003491.png,train
005124.png,train
004917.png,train
003228.png,train
001445.png,train
007429.png,train
004807.png,train
004150.png,train
000310.png,train
000058.png,train
002289.png,train
007082.png,train
001152.png,train
001198.png,train
000683.png,train
007164.png,train
002466.png,train
002533.png,train
006634.png,train
001893.png,train
000244.png,train
002619.png,train
005417.png,train
004851.png,train
005129.png,train
000982.png,train
004466.png,train
004103.png,train
001327.png,train
005535.png,train
001699.png,train
004996.png,train
007229.png,train
003373.png,train
005174.png,train
001005.png,train
005176.png,train
003705.png,train
005407.png,train
001080.png,train
004834.png,train
000443.png,train
006400.png,train
004580.png,train
005754.png,train
006481.png,train
001166.png,train
002197.png,train
000873.png,train
002013.png,train
002020.png,train
002847.png,train
006789.png,train
001402.png,train
000266.png,train
003120.png,train
005206.png,train
000609.png,train
004955.png,train
006788.png,train
005427.png,train
001224.png,train
006350.png,train
004247.png,train
002406.png,train
001359.png,train
000272.png,train
005944.png,train
006742.png,train
000564.png,train
005047.png,train
000264.png,train
000469.png,train
005224.png,train
004057.png,train
006395.png,train
005846.png,train
007250.png,train
006794.png,train
001545.png,train
002819.png,train
003835.png,train
001088.png,train
006640.png,train
002252.png,train
004001.png,train
002584.png,train
004455.png,train
000844.png,train
006727.png,train
002625.png,train
004188.png,train
006793.png,train
001383.png,train
000241.png,train
001268.png,train
006739.png,train
002903.png,train
000134.png,train
005681.png,train
007002.png,train
004551.png,train
000763.png,train
002117.png,train
000115.png,train
000031.png,train
001493.png,train
001036.png,train
003251.png,train
003699.png,train
002824.png,train
004009.png,train
003172.png,train
003056.png,train
000414.png,train
000632.png,train
003925.png,train
006302.png,train
005829.png,train
004490.png,train
006741.png,train
003557.png,train
000335.png,train
001496.png,train
001421.png,train
002239.png,train
003928.png,train
006504.png,train
000465.png,train
007152.png,train
006678.png,train
005335.png,train
002005.png,train
003201.png,train
005050.png,train
007438.png,train
001494.png,train
003931.png,train
004930.png,train
001446.png,train
000915.png,train
003692.png,train
006078.png,train
006700.png,train
000407.png,train
001104.png,train
001111.png,train
000011.png,train
006230.png,train
007226.png,train
004905.png,train
000950.png,train
000316.png,train
007305.png,train
000672.png,train
003979.png,train
005522.png,train
002922.png,train
003129.png,train
007327.png,train
007147.png,train
004002.png,train
004344.png,train
005597.png,train
007289.png,train
001856.png,train
003861.png,train
003841.png,train
006097.png,train
007306.png,train
002589.png,train
007308.png,train
005888.png,train
007121.png,train
003085.png,train
006544.png,train
000447.png,train
005266.png,train
003804.png,train
004645.png,train
003675.png,train
002206.png,train
004883.png,train
005752.png,train
004660.png,train
002304.png,train
002026.png,train
004825.png,train
000847.png,train
006654.png,train
002979.png,train
006172.png,train
001718.png,train
004803.png,train
000784.png,train
003682.png,train
007241.png,train
000868.png,train
005635.png,train
000875.png,train
003899.png,train
004124.png,train
006422.png,train
004881.png,train
002959.png,train
003772.png,train
003240.png,train
007415.png,train
006472.png,train
007108.png,train
004429.png,train
006844.png,train
004978.png,train
002936.png,train
006021.png,train
001044.png,train
006319.png,train
003926.png,train
006536.png,train
005946.png,train
004376.png,train
003600.png,train
000887.png,train
000361.png,train
005039.png,train
003552.png,train
