filename,split
0.pkl,train
1.pkl,train
2.pkl,val
3.pkl,train
4.pkl,train
5.pkl,val
6.pkl,val
7.pkl,train
8.pkl,train
9.pkl,train
10.pkl,train
11.pkl,val
12.pkl,val
13.pkl,train
14.pkl,train
15.pkl,train
16.pkl,val
17.pkl,train
18.pkl,val
19.pkl,train
20.pkl,train
21.pkl,train
22.pkl,train
23.pkl,train
24.pkl,train
25.pkl,train
26.pkl,val
27.pkl,train
28.pkl,train
29.pkl,train
30.pkl,train
31.pkl,train
32.pkl,val
33.pkl,train
34.pkl,train
35.pkl,val
36.pkl,train
37.pkl,val
38.pkl,train
39.pkl,train
40.pkl,train
41.pkl,train
42.pkl,val
43.pkl,train
44.pkl,val
45.pkl,train
46.pkl,train
47.pkl,val
48.pkl,train
49.pkl,train
50.pkl,train
51.pkl,train
52.pkl,train
53.pkl,train
54.pkl,train
55.pkl,val
56.pkl,val
57.pkl,train
58.pkl,train
59.pkl,train
60.pkl,train
61.pkl,train
62.pkl,train
63.pkl,train
64.pkl,train
65.pkl,val
66.pkl,train
67.pkl,train
68.pkl,train
69.pkl,train
70.pkl,train
71.pkl,val
72.pkl,train
73.pkl,train
74.pkl,train
75.pkl,val
76.pkl,train
77.pkl,train
78.pkl,val
79.pkl,val
80.pkl,train
81.pkl,train
82.pkl,train
83.pkl,val
84.pkl,train
85.pkl,train
86.pkl,train
87.pkl,train
88.pkl,train
89.pkl,val
90.pkl,train
91.pkl,val
92.pkl,train
93.pkl,train
94.pkl,train
95.pkl,val
96.pkl,train
97.pkl,train
98.pkl,train
99.pkl,train
100.pkl,train
101.pkl,train
102.pkl,val
103.pkl,val
104.pkl,val
105.pkl,train
106.pkl,train
107.pkl,train
108.pkl,train
109.pkl,train
110.pkl,val
111.pkl,train
112.pkl,train
113.pkl,train
114.pkl,train
115.pkl,train
116.pkl,train
117.pkl,val
118.pkl,train
119.pkl,train
120.pkl,train
121.pkl,train
122.pkl,train
123.pkl,train
124.pkl,train
125.pkl,train
126.pkl,train
127.pkl,train
128.pkl,val
129.pkl,train
130.pkl,train
131.pkl,train
132.pkl,train
133.pkl,train
134.pkl,val
135.pkl,train
136.pkl,val
137.pkl,train
138.pkl,train
139.pkl,train
140.pkl,train
141.pkl,val
142.pkl,val
143.pkl,val
144.pkl,train
145.pkl,train
146.pkl,val
147.pkl,train
