filename,split
0_1_0.pkl,train
10_1_10.pkl,train
11_1_11.pkl,train
12_1_12.pkl,train
13_1_13.pkl,train
14_1_14.pkl,train
15_1_15.pkl,train
16_1_16.pkl,train
17_1_17.pkl,train
18_1_18.pkl,train
19_1_19.pkl,train
1_1_1.pkl,train
20_1_20.pkl,train
21_1_21.pkl,train
22_1_22.pkl,train
23_1_23.pkl,train
24_1_24.pkl,train
25_1_25.pkl,train
26_1_26.pkl,train
27_1_27.pkl,train
28_1_28.pkl,train
29_1_29.pkl,train
2_1_2.pkl,train
30_1_30.pkl,train
31_1_31.pkl,train
32_1_32.pkl,train
33_1_33.pkl,train
34_1_34.pkl,train
35_1_35.pkl,train
36_1_36.pkl,train
37_1_37.pkl,train
38_1_38.pkl,train
39_1_39.pkl,train
3_1_3.pkl,train
40_1_40.pkl,train
41_1_41.pkl,train
42_1_42.pkl,train
43_1_43.pkl,train
44_1_44.pkl,train
45_1_45.pkl,train
46_1_46.pkl,train
47_1_47.pkl,train
48_1_48.pkl,train
49_1_49.pkl,train
4_1_4.pkl,train
50_1_50.pkl,train
51_1_51.pkl,train
52_1_52.pkl,train
53_1_53.pkl,train
54_1_54.pkl,train
55_1_55.pkl,train
56_1_56.pkl,train
57_1_57.pkl,train
58_1_58.pkl,train
59_1_59.pkl,train
5_1_5.pkl,train
60_1_60.pkl,train
61_1_61.pkl,train
62_1_62.pkl,train
63_1_63.pkl,train
64_1_64.pkl,train
65_1_65.pkl,train
66_1_66.pkl,train
67_1_67.pkl,train
68_1_68.pkl,train
69_1_69.pkl,train
6_1_6.pkl,train
70_1_70.pkl,train
71_1_71.pkl,train
72_1_72.pkl,train
73_1_73.pkl,train
74_1_74.pkl,train
75_1_75.pkl,train
76_1_76.pkl,train
77_1_77.pkl,train
78_1_78.pkl,train
79_1_79.pkl,train
7_1_7.pkl,train
80_1_80.pkl,train
81_1_81.pkl,train
82_1_82.pkl,train
83_1_83.pkl,train
84_1_84.pkl,train
85_1_85.pkl,train
86_1_86.pkl,train
87_1_87.pkl,train
88_1_88.pkl,train
89_1_89.pkl,train
8_1_8.pkl,train
90_1_90.pkl,train
91_1_91.pkl,train
92_1_92.pkl,train
9_1_9.pkl,train
100_2_11.pkl,val
101_2_12.pkl,val
102_2_13.pkl,val
103_2_14.pkl,val
104_2_15.pkl,val
105_2_16.pkl,val
106_2_17.pkl,val
107_2_18.pkl,val
108_2_19.pkl,val
109_2_20.pkl,val
110_2_21.pkl,val
111_2_22.pkl,val
112_2_23.pkl,val
113_2_24.pkl,val
114_2_25.pkl,val
115_2_26.pkl,val
116_2_27.pkl,val
117_2_28.pkl,val
118_2_29.pkl,val
119_2_30.pkl,val
120_2_31.pkl,val
121_2_32.pkl,val
122_2_33.pkl,val
123_2_34.pkl,val
124_2_35.pkl,val
125_2_36.pkl,val
126_2_37.pkl,val
127_2_38.pkl,val
128_2_39.pkl,val
129_2_40.pkl,val
130_2_41.pkl,val
131_2_42.pkl,val
132_2_43.pkl,val
133_2_44.pkl,val
134_2_45.pkl,val
135_2_46.pkl,val
136_2_47.pkl,val
137_2_48.pkl,val
138_2_49.pkl,val
139_2_50.pkl,val
140_2_51.pkl,val
141_2_52.pkl,val
142_2_53.pkl,val
143_2_54.pkl,val
144_2_55.pkl,val
145_2_56.pkl,val
146_2_57.pkl,val
147_2_58.pkl,val
148_2_59.pkl,val
149_2_60.pkl,val
150_2_61.pkl,val
151_2_62.pkl,val
152_2_63.pkl,val
153_2_64.pkl,val
154_2_65.pkl,val
155_2_66.pkl,val
156_2_67.pkl,val
157_2_68.pkl,val
158_2_69.pkl,val
159_2_70.pkl,val
160_2_71.pkl,val
161_2_72.pkl,val
162_2_73.pkl,val
163_2_74.pkl,val
164_2_75.pkl,val
165_2_76.pkl,val
166_2_77.pkl,val
167_2_78.pkl,val
168_2_79.pkl,val
169_2_80.pkl,val
170_2_81.pkl,val
171_2_82.pkl,val
172_2_83.pkl,val
173_2_84.pkl,val
174_2_85.pkl,val
175_2_86.pkl,val
176_2_87.pkl,val
177_2_88.pkl,val
178_2_89.pkl,val
179_2_90.pkl,val
180_2_91.pkl,val
181_2_92.pkl,val
93_2_4.pkl,val
94_2_5.pkl,val
95_2_6.pkl,val
