filename,split
48948.pkl,train
8391.pkl,train
2847.pkl,train
21211.pkl,train
14670.pkl,train
43041.pkl,train
24293.pkl,train
22933.pkl,train
3775.pkl,train
19998.pkl,train
19311.pkl,train
51079.pkl,train
22635.pkl,train
35011.pkl,train
2706.pkl,train
47304.pkl,train
4536.pkl,train
45803.pkl,train
25227.pkl,train
17918.pkl,train
2348.pkl,train
22947.pkl,train
4095.pkl,train
1801.pkl,train
25104.pkl,train
34622.pkl,train
45313.pkl,train
19379.pkl,train
34450.pkl,train
26592.pkl,train
22233.pkl,train
49347.pkl,train
9001.pkl,train
8571.pkl,train
13036.pkl,train
47146.pkl,train
7574.pkl,train
41988.pkl,train
8804.pkl,train
28057.pkl,train
11278.pkl,train
20564.pkl,train
35879.pkl,train
16907.pkl,train
15040.pkl,train
17130.pkl,train
17769.pkl,train
29057.pkl,train
21528.pkl,train
49189.pkl,train
10550.pkl,train
56722.pkl,train
19728.pkl,train
52236.pkl,train
54634.pkl,train
23960.pkl,train
10296.pkl,train
4191.pkl,train
41203.pkl,train
36889.pkl,train
38358.pkl,train
30322.pkl,train
9509.pkl,train
53291.pkl,train
43122.pkl,train
21014.pkl,train
10442.pkl,train
5426.pkl,train
11079.pkl,train
46068.pkl,train
31870.pkl,train
53712.pkl,train
1580.pkl,train
39949.pkl,train
50614.pkl,train
56039.pkl,train
20452.pkl,train
41308.pkl,train
26032.pkl,train
42905.pkl,train
11029.pkl,train
38552.pkl,train
41902.pkl,train
32798.pkl,train
19035.pkl,train
47464.pkl,train
14872.pkl,train
52099.pkl,train
35626.pkl,train
36088.pkl,train
25250.pkl,train
12781.pkl,train
42769.pkl,train
28695.pkl,train
37984.pkl,train
8097.pkl,train
5511.pkl,train
3323.pkl,train
25323.pkl,train
48246.pkl,train
257.pkl,train
14132.pkl,train
21144.pkl,train
24420.pkl,train
14505.pkl,train
23665.pkl,train
19437.pkl,train
48629.pkl,train
45545.pkl,train
40555.pkl,train
48664.pkl,train
907.pkl,train
6557.pkl,train
19714.pkl,train
39818.pkl,train
12888.pkl,train
1521.pkl,train
49481.pkl,train
41613.pkl,train
56856.pkl,train
15979.pkl,train
44875.pkl,train
3387.pkl,train
52572.pkl,train
17629.pkl,train
15282.pkl,train
397.pkl,train
32321.pkl,train
21275.pkl,train
55292.pkl,train
20220.pkl,train
26313.pkl,train
30380.pkl,train
43426.pkl,train
29751.pkl,train
55765.pkl,train
4067.pkl,train
26767.pkl,train
1361.pkl,train
56895.pkl,train
51331.pkl,train
40127.pkl,train
16529.pkl,train
41708.pkl,train
9940.pkl,train
35126.pkl,train
53667.pkl,train
18149.pkl,train
44721.pkl,train
55790.pkl,train
29049.pkl,train
9580.pkl,train
12893.pkl,train
15784.pkl,train
53513.pkl,train
14895.pkl,train
13734.pkl,train
32736.pkl,train
